###cas|pos|1.0###
SP-Wiki+M 	---	 SP-CC100 	---	 p-value :  0.0349 	---	 True
SP-PubMed 	---	 SP-NACHOS 	---	 p-value :  0.1059 	---	 False
SP-PubMed 	---	 BPE-Wiki+M 	---	 p-value :  0.0132 	---	 True
SP-PubMed 	---	 BPE-CC100+M 	---	 p-value :  0.1434 	---	 False
SP-PubMed 	---	 SP-NACHOS+M 	---	 p-value :  0.2761 	---	 False
SP-PubMed 	---	 BPE-Wiki 	---	 p-value :  0.5313 	---	 False
SP-PubMed 	---	 BPE-PubMed 	---	 p-value :  0.8028 	---	 False
SP-PubMed 	---	 SP-CC100+M 	---	 p-value :  0.1701 	---	 False
SP-PubMed 	---	 BPE-PubMed+M 	---	 p-value :  0.0947 	---	 False
SP-PubMed 	---	 SP-PubMed+M 	---	 p-value :  0.0539 	---	 False
SP-PubMed 	---	 SP-Wiki+M 	---	 p-value :  0.7965 	---	 False
SP-PubMed 	---	 BPE-CC100 	---	 p-value :  0.4368 	---	 False



###essai|ner-neg|1.0###
BPE-Wiki+M 	---	 SP-CC100 	---	 p-value :  0.1748 	---	 False
BPE-Wiki+M 	---	 SP-Wiki 	---	 p-value :  0.997 	---	 False
BPE-Wiki+M 	---	 BPE-NACHOS 	---	 p-value :  0.7849 	---	 False
BPE-Wiki+M 	---	 BPE-NACHOS+M 	---	 p-value :  0.0457 	---	 True
BPE-Wiki+M 	---	 SP-NACHOS 	---	 p-value :  0.2898 	---	 False
BPE-Wiki+M 	---	 SP-PubMed 	---	 p-value :  0.0016 	---	 Very True
BPE-Wiki+M 	---	 BPE-CC100+M 	---	 p-value :  0.148 	---	 False
BPE-Wiki+M 	---	 SP-NACHOS+M 	---	 p-value :  0.7076 	---	 False
BPE-Wiki+M 	---	 BPE-Wiki 	---	 p-value :  0.1067 	---	 False
BPE-Wiki+M 	---	 BPE-PubMed 	---	 p-value :  0.0047 	---	 Very True
BPE-Wiki+M 	---	 SP-CC100+M 	---	 p-value :  0.0463 	---	 True
BPE-Wiki+M 	---	 BPE-PubMed+M 	---	 p-value :  0.0787 	---	 False
BPE-Wiki+M 	---	 SP-PubMed+M 	---	 p-value :  0.2696 	---	 False
BPE-Wiki+M 	---	 SP-Wiki+M 	---	 p-value :  0.205 	---	 False
BPE-Wiki+M 	---	 BPE-CC100 	---	 p-value :  0.3833 	---	 False



###essai|ner-spec|1.0###
SP-Wiki 	---	 SP-CC100 	---	 p-value :  0.0971 	---	 False
SP-Wiki 	---	 BPE-NACHOS 	---	 p-value :  0.003 	---	 Very True
SP-Wiki 	---	 BPE-NACHOS+M 	---	 p-value :  0.0292 	---	 True
SP-Wiki 	---	 SP-NACHOS 	---	 p-value :  0.6282 	---	 False
SP-Wiki 	---	 BPE-Wiki+M 	---	 p-value :  0.8518 	---	 False
SP-Wiki 	---	 SP-PubMed 	---	 p-value :  0.0053 	---	 Very True
SP-Wiki 	---	 BPE-CC100+M 	---	 p-value :  0.0008 	---	 Very True
SP-Wiki 	---	 SP-NACHOS+M 	---	 p-value :  0.0023 	---	 Very True
SP-Wiki 	---	 BPE-Wiki 	---	 p-value :  0.2003 	---	 False
SP-Wiki 	---	 BPE-PubMed 	---	 p-value :  0.0002 	---	 Very True
SP-Wiki 	---	 SP-CC100+M 	---	 p-value :  0.0222 	---	 True
SP-Wiki 	---	 BPE-PubMed+M 	---	 p-value :  0.0007 	---	 Very True
SP-Wiki 	---	 SP-PubMed+M 	---	 p-value :  0.0006 	---	 Very True
SP-Wiki 	---	 SP-Wiki+M 	---	 p-value :  0.1074 	---	 False
SP-Wiki 	---	 BPE-CC100 	---	 p-value :  0.0044 	---	 Very True



###quaero|ner-emea|1.0###
BPE-NACHOS 	---	 SP-CC100 	---	 p-value :  0.0258 	---	 True
BPE-NACHOS 	---	 SP-Wiki 	---	 p-value :  0.0437 	---	 True
BPE-NACHOS 	---	 BPE-NACHOS+M 	---	 p-value :  0.4277 	---	 False
BPE-NACHOS 	---	 SP-NACHOS 	---	 p-value :  0.9406 	---	 False
BPE-NACHOS 	---	 BPE-Wiki+M 	---	 p-value :  0.0395 	---	 True
BPE-NACHOS 	---	 SP-PubMed 	---	 p-value :  0.0178 	---	 True
BPE-NACHOS 	---	 BPE-CC100+M 	---	 p-value :  0.0093 	---	 Very True
BPE-NACHOS 	---	 SP-NACHOS+M 	---	 p-value :  0.3052 	---	 False
BPE-NACHOS 	---	 BPE-Wiki 	---	 p-value :  0.0433 	---	 True
BPE-NACHOS 	---	 BPE-PubMed 	---	 p-value :  0.3117 	---	 False
BPE-NACHOS 	---	 SP-CC100+M 	---	 p-value :  0.0418 	---	 True
BPE-NACHOS 	---	 BPE-PubMed+M 	---	 p-value :  0.0081 	---	 Very True
BPE-NACHOS 	---	 SP-PubMed+M 	---	 p-value :  0.0774 	---	 False
BPE-NACHOS 	---	 SP-Wiki+M 	---	 p-value :  0.1185 	---	 False
BPE-NACHOS 	---	 BPE-CC100 	---	 p-value :  0.0097 	---	 Very True



###quaero|ner-medline|1.0###
SP-NACHOS 	---	 SP-CC100 	---	 p-value :  0.0317 	---	 True
SP-NACHOS 	---	 SP-Wiki 	---	 p-value :  0.1482 	---	 False
SP-NACHOS 	---	 BPE-NACHOS 	---	 p-value :  0.3852 	---	 False
SP-NACHOS 	---	 BPE-NACHOS+M 	---	 p-value :  0.0387 	---	 True
SP-NACHOS 	---	 BPE-Wiki+M 	---	 p-value :  0.0113 	---	 True
SP-NACHOS 	---	 SP-PubMed 	---	 p-value :  0.0002 	---	 Very True
SP-NACHOS 	---	 BPE-CC100+M 	---	 p-value :  0.0003 	---	 Very True
SP-NACHOS 	---	 SP-NACHOS+M 	---	 p-value :  0.1277 	---	 False
SP-NACHOS 	---	 BPE-Wiki 	---	 p-value :  0.0601 	---	 False
SP-NACHOS 	---	 BPE-PubMed 	---	 p-value :  0.0002 	---	 Very True
SP-NACHOS 	---	 SP-CC100+M 	---	 p-value :  0.0036 	---	 Very True
SP-NACHOS 	---	 BPE-PubMed+M 	---	 p-value :  0.0003 	---	 Very True
SP-NACHOS 	---	 SP-PubMed+M 	---	 p-value :  0.0 	---	 Very True
SP-NACHOS 	---	 SP-Wiki+M 	---	 p-value :  0.0158 	---	 True
SP-NACHOS 	---	 BPE-CC100 	---	 p-value :  0.4683 	---	 False



###e3c|ner-clinical|1.0###
SP-NACHOS+M 	---	 SP-CC100 	---	 p-value :  0.0566 	---	 False
SP-NACHOS+M 	---	 SP-Wiki 	---	 p-value :  0.0622 	---	 False
SP-NACHOS+M 	---	 BPE-NACHOS 	---	 p-value :  0.7829 	---	 False
SP-NACHOS+M 	---	 BPE-NACHOS+M 	---	 p-value :  0.0315 	---	 True
SP-NACHOS+M 	---	 SP-NACHOS 	---	 p-value :  0.7055 	---	 False
SP-NACHOS+M 	---	 BPE-Wiki+M 	---	 p-value :  0.0002 	---	 Very True
SP-NACHOS+M 	---	 SP-PubMed 	---	 p-value :  0.0664 	---	 False
SP-NACHOS+M 	---	 BPE-CC100+M 	---	 p-value :  0.0148 	---	 True
SP-NACHOS+M 	---	 BPE-Wiki 	---	 p-value :  0.0069 	---	 Very True
SP-NACHOS+M 	---	 BPE-PubMed 	---	 p-value :  0.0064 	---	 Very True
SP-NACHOS+M 	---	 SP-CC100+M 	---	 p-value :  0.0 	---	 Very True
SP-NACHOS+M 	---	 BPE-PubMed+M 	---	 p-value :  0.0005 	---	 Very True
SP-NACHOS+M 	---	 SP-PubMed+M 	---	 p-value :  0.0001 	---	 Very True
SP-NACHOS+M 	---	 SP-Wiki+M 	---	 p-value :  0.0378 	---	 True
SP-NACHOS+M 	---	 BPE-CC100 	---	 p-value :  0.0037 	---	 Very True



###e3c|ner-temporal|1.0###
SP-Wiki+M 	---	 SP-CC100 	---	 p-value :  0.1204 	---	 False
SP-Wiki+M 	---	 SP-Wiki 	---	 p-value :  0.0291 	---	 True
SP-Wiki+M 	---	 BPE-NACHOS 	---	 p-value :  0.4394 	---	 False
SP-Wiki+M 	---	 BPE-NACHOS+M 	---	 p-value :  0.1818 	---	 False
SP-Wiki+M 	---	 SP-NACHOS 	---	 p-value :  0.5381 	---	 False
SP-Wiki+M 	---	 BPE-Wiki+M 	---	 p-value :  0.1049 	---	 False
SP-Wiki+M 	---	 SP-PubMed 	---	 p-value :  0.0069 	---	 Very True
SP-Wiki+M 	---	 BPE-CC100+M 	---	 p-value :  0.1659 	---	 False
SP-Wiki+M 	---	 SP-NACHOS+M 	---	 p-value :  0.0509 	---	 False
SP-Wiki+M 	---	 BPE-Wiki 	---	 p-value :  0.6642 	---	 False
SP-Wiki+M 	---	 BPE-PubMed 	---	 p-value :  0.0218 	---	 True
SP-Wiki+M 	---	 SP-CC100+M 	---	 p-value :  0.5033 	---	 False
SP-Wiki+M 	---	 BPE-PubMed+M 	---	 p-value :  0.0115 	---	 True
SP-Wiki+M 	---	 SP-PubMed+M 	---	 p-value :  0.0123 	---	 True
SP-Wiki+M 	---	 BPE-CC100 	---	 p-value :  0.3875 	---	 False



###morfitt|cls|1.0###
SP-NACHOS 	---	 SP-CC100 	---	 p-value :  0.2349 	---	 False
SP-NACHOS 	---	 SP-Wiki 	---	 p-value :  0.0064 	---	 Very True
SP-NACHOS 	---	 BPE-NACHOS 	---	 p-value :  0.0072 	---	 Very True
SP-NACHOS 	---	 BPE-NACHOS+M 	---	 p-value :  0.0129 	---	 True
SP-NACHOS 	---	 BPE-Wiki+M 	---	 p-value :  0.0002 	---	 Very True
SP-NACHOS 	---	 SP-PubMed 	---	 p-value :  0.0001 	---	 Very True
SP-NACHOS 	---	 BPE-CC100+M 	---	 p-value :  0.0027 	---	 Very True
SP-NACHOS 	---	 SP-NACHOS+M 	---	 p-value :  0.014 	---	 True
SP-NACHOS 	---	 BPE-Wiki 	---	 p-value :  0.1315 	---	 False
SP-NACHOS 	---	 BPE-PubMed 	---	 p-value :  0.0002 	---	 Very True
SP-NACHOS 	---	 SP-CC100+M 	---	 p-value :  0.0121 	---	 True
SP-NACHOS 	---	 BPE-PubMed+M 	---	 p-value :  0.0009 	---	 Very True
SP-NACHOS 	---	 SP-PubMed+M 	---	 p-value :  0.0 	---	 Very True
SP-NACHOS 	---	 SP-Wiki+M 	---	 p-value :  0.0186 	---	 True
SP-NACHOS 	---	 BPE-CC100 	---	 p-value :  0.0057 	---	 Very True



###frenchmedmcqa|mcqa|1.0###
BPE-PubMed 	---	 SP-CC100 	---	 p-value :  0.0 	---	 Very True
BPE-PubMed 	---	 SP-Wiki 	---	 p-value :  0.0 	---	 Very True
BPE-PubMed 	---	 BPE-NACHOS 	---	 p-value :  0.0 	---	 Very True
BPE-PubMed 	---	 BPE-NACHOS+M 	---	 p-value :  0.0 	---	 Very True
BPE-PubMed 	---	 SP-NACHOS 	---	 p-value :  0.0 	---	 Very True
BPE-PubMed 	---	 BPE-Wiki+M 	---	 p-value :  0.0 	---	 Very True
BPE-PubMed 	---	 SP-PubMed 	---	 p-value :  0.0 	---	 Very True
BPE-PubMed 	---	 BPE-CC100+M 	---	 p-value :  0.0 	---	 Very True
BPE-PubMed 	---	 SP-NACHOS+M 	---	 p-value :  0.0 	---	 Very True
BPE-PubMed 	---	 BPE-Wiki 	---	 p-value :  0.0 	---	 Very True
BPE-PubMed 	---	 SP-CC100+M 	---	 p-value :  0.0 	---	 Very True
BPE-PubMed 	---	 BPE-PubMed+M 	---	 p-value :  0.0 	---	 Very True
BPE-PubMed 	---	 SP-PubMed+M 	---	 p-value :  0.0 	---	 Very True
BPE-PubMed 	---	 SP-Wiki+M 	---	 p-value :  0.0 	---	 Very True
BPE-PubMed 	---	 BPE-CC100 	---	 p-value :  0.0 	---	 Very True



###frenchmedmcqa|cls|1.0###
SP-CC100+M 	---	 SP-CC100 	---	 p-value :  0.6419 	---	 False
SP-CC100+M 	---	 SP-Wiki 	---	 p-value :  0.3176 	---	 False
SP-CC100+M 	---	 BPE-NACHOS 	---	 p-value :  0.5381 	---	 False
SP-CC100+M 	---	 BPE-NACHOS+M 	---	 p-value :  0.3706 	---	 False
SP-CC100+M 	---	 SP-NACHOS 	---	 p-value :  0.6818 	---	 False
SP-CC100+M 	---	 BPE-Wiki+M 	---	 p-value :  0.4145 	---	 False
SP-CC100+M 	---	 SP-PubMed 	---	 p-value :  0.2005 	---	 False
SP-CC100+M 	---	 BPE-CC100+M 	---	 p-value :  0.4837 	---	 False
SP-CC100+M 	---	 SP-NACHOS+M 	---	 p-value :  0.2768 	---	 False
SP-CC100+M 	---	 BPE-Wiki 	---	 p-value :  0.3668 	---	 False
SP-CC100+M 	---	 BPE-PubMed 	---	 p-value :  0.4284 	---	 False
SP-CC100+M 	---	 BPE-PubMed+M 	---	 p-value :  0.4669 	---	 False
SP-CC100+M 	---	 SP-PubMed+M 	---	 p-value :  0.4136 	---	 False
SP-CC100+M 	---	 SP-Wiki+M 	---	 p-value :  0.4035 	---	 False
SP-CC100+M 	---	 BPE-CC100 	---	 p-value :  0.3418 	---	 False



###mantragsc|ner-fr_emea|1.0###
BPE-CC100 	---	 SP-CC100 	---	 p-value :  0.0468 	---	 True
BPE-CC100 	---	 SP-Wiki 	---	 p-value :  0.0449 	---	 True
BPE-CC100 	---	 BPE-NACHOS 	---	 p-value :  0.1887 	---	 False
BPE-CC100 	---	 BPE-NACHOS+M 	---	 p-value :  0.0026 	---	 Very True
BPE-CC100 	---	 SP-NACHOS 	---	 p-value :  0.5058 	---	 False
BPE-CC100 	---	 BPE-Wiki+M 	---	 p-value :  0.1841 	---	 False
BPE-CC100 	---	 SP-PubMed 	---	 p-value :  0.0005 	---	 Very True
BPE-CC100 	---	 BPE-CC100+M 	---	 p-value :  0.0681 	---	 False
BPE-CC100 	---	 SP-NACHOS+M 	---	 p-value :  0.1753 	---	 False
BPE-CC100 	---	 BPE-Wiki 	---	 p-value :  0.021 	---	 True
BPE-CC100 	---	 BPE-PubMed 	---	 p-value :  0.0155 	---	 True
BPE-CC100 	---	 SP-CC100+M 	---	 p-value :  0.7295 	---	 False
BPE-CC100 	---	 BPE-PubMed+M 	---	 p-value :  0.2178 	---	 False
BPE-CC100 	---	 SP-PubMed+M 	---	 p-value :  0.0521 	---	 False
BPE-CC100 	---	 SP-Wiki+M 	---	 p-value :  0.0232 	---	 True



###mantragsc|ner-fr_medline|1.0###
SP-CC100 	---	 SP-Wiki 	---	 p-value :  0.7518 	---	 False
SP-CC100 	---	 BPE-NACHOS 	---	 p-value :  0.0146 	---	 True
SP-CC100 	---	 BPE-NACHOS+M 	---	 p-value :  0.0319 	---	 True
SP-CC100 	---	 SP-NACHOS 	---	 p-value :  0.2026 	---	 False
SP-CC100 	---	 BPE-Wiki+M 	---	 p-value :  0.02 	---	 True
SP-CC100 	---	 SP-PubMed 	---	 p-value :  0.0007 	---	 Very True
SP-CC100 	---	 BPE-CC100+M 	---	 p-value :  0.0787 	---	 False
SP-CC100 	---	 SP-NACHOS+M 	---	 p-value :  0.3787 	---	 False
SP-CC100 	---	 BPE-Wiki 	---	 p-value :  0.1903 	---	 False
SP-CC100 	---	 BPE-PubMed 	---	 p-value :  0.053 	---	 False
SP-CC100 	---	 SP-CC100+M 	---	 p-value :  0.1123 	---	 False
SP-CC100 	---	 BPE-PubMed+M 	---	 p-value :  0.0052 	---	 Very True
SP-CC100 	---	 SP-PubMed+M 	---	 p-value :  0.1428 	---	 False
SP-CC100 	---	 SP-Wiki+M 	---	 p-value :  0.018 	---	 True
SP-CC100 	---	 BPE-CC100 	---	 p-value :  0.1364 	---	 False



###mantragsc|ner-fr_patents|1.0###
BPE-Wiki+M 	---	 SP-CC100 	---	 p-value :  0.0128 	---	 True
BPE-Wiki+M 	---	 SP-Wiki 	---	 p-value :  0.0057 	---	 Very True
BPE-Wiki+M 	---	 BPE-NACHOS 	---	 p-value :  0.0031 	---	 Very True
BPE-Wiki+M 	---	 BPE-NACHOS+M 	---	 p-value :  0.0808 	---	 False
BPE-Wiki+M 	---	 SP-NACHOS 	---	 p-value :  0.0334 	---	 True
BPE-Wiki+M 	---	 SP-PubMed 	---	 p-value :  0.0003 	---	 Very True
BPE-Wiki+M 	---	 BPE-CC100+M 	---	 p-value :  0.0431 	---	 True
BPE-Wiki+M 	---	 SP-NACHOS+M 	---	 p-value :  0.049 	---	 True
BPE-Wiki+M 	---	 BPE-Wiki 	---	 p-value :  0.0636 	---	 False
BPE-Wiki+M 	---	 BPE-PubMed 	---	 p-value :  0.6277 	---	 False
BPE-Wiki+M 	---	 SP-CC100+M 	---	 p-value :  0.001 	---	 Very True
BPE-Wiki+M 	---	 BPE-PubMed+M 	---	 p-value :  0.135 	---	 False
BPE-Wiki+M 	---	 SP-PubMed+M 	---	 p-value :  0.1267 	---	 False
BPE-Wiki+M 	---	 SP-Wiki+M 	---	 p-value :  0.0891 	---	 False
BPE-Wiki+M 	---	 BPE-CC100 	---	 p-value :  0.6153 	---	 False



###clister|regr|1.0###
BPE-CC100 	---	 SP-CC100 	---	 p-value :  0.1263 	---	 False
BPE-CC100 	---	 SP-Wiki 	---	 p-value :  0.0141 	---	 True
BPE-CC100 	---	 BPE-NACHOS 	---	 p-value :  0.0411 	---	 True
BPE-CC100 	---	 BPE-NACHOS+M 	---	 p-value :  0.016 	---	 True
BPE-CC100 	---	 SP-NACHOS 	---	 p-value :  0.0574 	---	 False
BPE-CC100 	---	 BPE-Wiki+M 	---	 p-value :  0.0486 	---	 True
BPE-CC100 	---	 SP-PubMed 	---	 p-value :  0.0008 	---	 Very True
BPE-CC100 	---	 BPE-CC100+M 	---	 p-value :  0.0565 	---	 False
BPE-CC100 	---	 SP-NACHOS+M 	---	 p-value :  0.0314 	---	 True
BPE-CC100 	---	 BPE-Wiki 	---	 p-value :  0.0143 	---	 True
BPE-CC100 	---	 BPE-PubMed 	---	 p-value :  0.1242 	---	 False
BPE-CC100 	---	 SP-CC100+M 	---	 p-value :  0.0055 	---	 Very True
BPE-CC100 	---	 BPE-PubMed+M 	---	 p-value :  0.0309 	---	 True
BPE-CC100 	---	 SP-PubMed+M 	---	 p-value :  0.0243 	---	 True
BPE-CC100 	---	 SP-Wiki+M 	---	 p-value :  0.1069 	---	 False



###deft2020|regr|1.0###
SP-NACHOS+M 	---	 SP-CC100 	---	 p-value :  0.0327 	---	 True
SP-NACHOS+M 	---	 SP-Wiki 	---	 p-value :  0.089 	---	 False
SP-NACHOS+M 	---	 BPE-NACHOS 	---	 p-value :  0.0642 	---	 False
SP-NACHOS+M 	---	 BPE-NACHOS+M 	---	 p-value :  0.0036 	---	 Very True
SP-NACHOS+M 	---	 SP-NACHOS 	---	 p-value :  0.0771 	---	 False
SP-NACHOS+M 	---	 BPE-Wiki+M 	---	 p-value :  0.0215 	---	 True
SP-NACHOS+M 	---	 SP-PubMed 	---	 p-value :  0.0 	---	 Very True
SP-NACHOS+M 	---	 BPE-CC100+M 	---	 p-value :  0.1234 	---	 False
SP-NACHOS+M 	---	 BPE-Wiki 	---	 p-value :  0.1377 	---	 False
SP-NACHOS+M 	---	 BPE-PubMed 	---	 p-value :  0.0242 	---	 True
SP-NACHOS+M 	---	 SP-CC100+M 	---	 p-value :  0.0088 	---	 Very True
SP-NACHOS+M 	---	 BPE-PubMed+M 	---	 p-value :  0.0894 	---	 False
SP-NACHOS+M 	---	 SP-PubMed+M 	---	 p-value :  0.2964 	---	 False
SP-NACHOS+M 	---	 SP-Wiki+M 	---	 p-value :  0.0293 	---	 True
SP-NACHOS+M 	---	 BPE-CC100 	---	 p-value :  0.0098 	---	 Very True



###deft2020|cls|1.0###
BPE-NACHOS 	---	 SP-CC100 	---	 p-value :  0.0221 	---	 True
BPE-NACHOS 	---	 SP-Wiki 	---	 p-value :  0.0111 	---	 True
BPE-NACHOS 	---	 BPE-NACHOS+M 	---	 p-value :  0.3393 	---	 False
BPE-NACHOS 	---	 SP-NACHOS 	---	 p-value :  0.2194 	---	 False
BPE-NACHOS 	---	 BPE-Wiki+M 	---	 p-value :  0.4272 	---	 False
BPE-NACHOS 	---	 SP-PubMed 	---	 p-value :  0.0584 	---	 False
BPE-NACHOS 	---	 BPE-CC100+M 	---	 p-value :  0.0509 	---	 False
BPE-NACHOS 	---	 SP-NACHOS+M 	---	 p-value :  0.5048 	---	 False
BPE-NACHOS 	---	 BPE-Wiki 	---	 p-value :  0.1903 	---	 False
BPE-NACHOS 	---	 BPE-PubMed 	---	 p-value :  0.0048 	---	 Very True
BPE-NACHOS 	---	 SP-CC100+M 	---	 p-value :  0.006 	---	 Very True
BPE-NACHOS 	---	 BPE-PubMed+M 	---	 p-value :  0.0076 	---	 Very True
BPE-NACHOS 	---	 SP-PubMed+M 	---	 p-value :  0.0074 	---	 Very True
BPE-NACHOS 	---	 SP-Wiki+M 	---	 p-value :  0.0829 	---	 False
